# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# TN       = Minimum temperature (in 0.1 degrees Celsius); 
# TNH      = Hourly division in which TN was measured; 
# TX       = Maximum temperature (in 0.1 degrees Celsius); 
# TXH      = Hourly division in which TX was measured; 
# T10N     = Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius); 
# T10NH    = 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
# 
# STN,YYYYMMDD,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH
# 
  391,20160505,  139,   62,    5,  204,   16,   50,    6
  391,20160506,  178,   98,    4,  240,   15,   84,    6
  391,20160507,  198,  121,    4,  265,   15,   98,    6
  391,20160508,  205,  142,    3,  263,   16,  125,    6
  391,20160509,  205,  136,    4,  265,   15,  130,    6
  391,20160510,  187,  156,    5,  222,   14,  152,    6
  391,20160511,  208,  150,    4,  272,   15,  143,    6
  391,20160512,  203,  138,    4,  267,   14,  127,    6
  391,20160513,  172,   92,   24,  245,   13,   89,   24
  391,20160514,   92,   51,   24,  138,   13,   39,   24
  391,20160515,   91,   43,    3,  143,   13,   31,    6
  391,20160516,   99,   42,    4,  146,   13,   22,    6
  391,20160517,  132,   77,    2,  182,   15,   64,    6
  391,20160518,  141,   95,    2,  206,   13,   80,    6
  391,20160519,  135,   84,   23,  193,   16,   68,   24
  391,20160520,  143,  102,    2,  174,   17,   88,    6
  391,20160521,  188,  122,    4,  243,   14,  118,    6
  391,20160522,  172,  143,   24,  204,    8,  140,   24
  391,20160523,  125,  110,   24,  145,    1,  108,   24
  391,20160524,  116,  100,    4,  144,   13,   99,    6
  391,20160525,  128,   94,    4,  175,   16,   89,   24
  391,20160526,  162,   75,    4,  222,   16,   66,    6
  391,20160527,  166,  140,    5,  217,   16,  137,   24
  391,20160528,  188,  125,    3,  243,   14,  114,    6
  391,20160529,  175,  135,    4,  206,   10,  120,    6
  391,20160530,  171,  154,    6,  210,   15,  152,   24
  391,20160531,  173,  132,   24,  217,   16,  122,   24
  391,20160601,  175,  132,    1,  231,   16,  122,    6
  391,20160602,  187,  153,   24,  254,   14,  153,   24
  391,20160603,  184,  150,    4,  232,   16,  151,    6
  391,20160604,  188,  151,    3,  270,   15,  140,   24
  391,20160605,  212,  136,    4,  280,   13,  126,    6
  370,20160505,  144,   66,    4,  201,   16,   36,    6
  370,20160506,  177,  112,    5,  251,   16,   67,   24
  370,20160507,  203,  105,    4,  269,   14,   47,    6
  370,20160508,  214,  147,    4,  264,   15,   99,    6
  370,20160509,  213,  158,    5,  261,   14,  138,    6
  370,20160510,  186,  152,    5,  215,   16,  137,    6
  370,20160511,  209,  154,    2,  264,   16,  136,    6
  370,20160512,  203,  151,    4,  263,   15,  132,   24
  370,20160513,  169,   94,   24,  247,   14,   84,   24
  370,20160514,   93,   49,   24,  132,   14,   30,   24
  370,20160515,   84,   29,   24,  130,   14,  -21,   24
  370,20160516,   89,   18,    3,  133,   16,  -55,    6
  370,20160517,  132,   73,    1,  195,   14,   39,   24
  370,20160518,  137,   75,    1,  207,   12,   34,    6
  370,20160519,  136,   92,   24,  193,   15,   56,   24
  370,20160520,  142,   98,    1,  188,   17,   82,    6
  370,20160521,  187,  124,    1,  242,   15,  108,    6
  370,20160522,  170,  147,   24,  193,   10,  138,   24
  370,20160523,  118,  105,    7,  148,    1,   99,   24
  370,20160524,  114,   85,   22,  151,   15,   62,   24
  370,20160525,  114,   71,   24,  168,   17,   17,   24
  370,20160526,  156,   56,    3,  216,   15,   10,    6
  370,20160527,  174,  133,    5,  219,   15,  121,    6
  370,20160528,  190,  126,    4,  247,   16,  107,    6
  370,20160529,  169,  137,    4,  194,   12,  121,    6
  370,20160530,  162,  152,   10,  174,   15,  145,   12
  370,20160531,  171,  136,   24,  218,   16,   96,   24
  370,20160601,  173,  120,    2,  215,   19,   79,    6
  370,20160602,  171,  142,   23,  219,   13,  135,   24
  370,20160603,  170,  139,    1,  215,   16,  133,   24
  370,20160604,  178,  137,    3,  248,   15,  132,    6
  370,20160605,  206,  128,    4,  283,   15,  101,    6
  331,20160505,     ,     ,     ,     ,     ,     ,     
  331,20160506,     ,     ,     ,     ,     ,     ,     
  331,20160507,     ,     ,     ,     ,     ,     ,     
  331,20160508,     ,     ,     ,     ,     ,     ,     
  331,20160509,     ,     ,     ,     ,     ,     ,     
  331,20160510,     ,     ,     ,     ,     ,     ,     
