# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  330,20160505,  148
  330,20160506,  171
  330,20160507,  199
  330,20160508,  214
  330,20160509,  210
  330,20160510,  184
  330,20160511,  187
  330,20160512,  203
  330,20160513,  130
  330,20160514,   91
  330,20160515,   91
  330,20160516,  103
  330,20160517,  136
  330,20160518,  136
  330,20160519,  134
  330,20160520,  138
  330,20160521,  176
  330,20160522,  138
  330,20160523,  113
  330,20160524,  111
  330,20160525,  115
  330,20160526,  129
  330,20160527,  153
  330,20160528,  149
  330,20160529,  146
  330,20160530,  130
  330,20160531,  165
  330,20160601,  144
  330,20160602,  124
  330,20160603,  132
  330,20160604,  160
  330,20160605,  153
  330,20160606,  152
  330,20160607,  172
  330,20160608,  147
  330,20160609,  139
  330,20160610,  147
  330,20160611,  157
  330,20160612,  167
  330,20160613,  150
  330,20160614,  155
  330,20160615,  155
  330,20160616,  155
  330,20160617,  152
  330,20160618,  132
  330,20160619,  158
  330,20160620,  156
  330,20160621,  162
  330,20160622,  205
  330,20160623,  201
  330,20160624,  176
  330,20160625,  158
  330,20160626,  162
  330,20160627,  153
  330,20160628,  155
  330,20160629,  158
  330,20160630,  161
  330,20160701,  162
  330,20160702,  156
  330,20160703,  160
  330,20160704,  171
  330,20160705,  159
  330,20160706,  151
  330,20160707,  175
  330,20160708,  174
  330,20160709,  190
  330,20160710,  196
  330,20160711,  181
  330,20160712,  172
  330,20160713,  155
  330,20160714,  162
  330,20160715,  176
  330,20160716,  195
  330,20160717,  195
  330,20160718,  197
  330,20160719,  245
  330,20160720,  243
  330,20160721,  198
  330,20160722,  196
  330,20160723,  196
  330,20160724,  199
  330,20160725,  189
  330,20160726,  192
  330,20160727,  180
  330,20160728,  183
  330,20160729,  186
  330,20160730,  187
  330,20160731,  173
  330,20160801,  178
  330,20160802,  168
  330,20160803,  188
  330,20160804,  185
  330,20160805,  185
  330,20160806,  182
  330,20160807,  191
  330,20160808,  176
  330,20160809,  155
  330,20160810,  146
  330,20160811,  153
  330,20160812,  192
  330,20160813,  186
  330,20160814,  177
  330,20160815,  174
  330,20160816,  179
  330,20160817,  191
  330,20160818,  181
  330,20160819,  186
  330,20160820,  184
  330,20160821,  174
  330,20160822,  188
  330,20160823,  219
  330,20160824,  253
  330,20160825,  249
  330,20160826,  199
  330,20160827,  225
  330,20160828,  200
  330,20160829,  176
  330,20160830,  174
  330,20160831,  191
  330,20160901,  189
  330,20160902,  179
  330,20160903,  191
  330,20160904,  186
  330,20160905,  184
  330,20160906,  199
  330,20160907,  203
  330,20160908,  203
  330,20160909,  190
  330,20160910,  200
  330,20160911,  191
  330,20160912,  224
  330,20160913,  250
  330,20160914,  233
  330,20160915,  224
  330,20160916,  179
  330,20160917,  187
  330,20160918,  183
  330,20160919,  161
  330,20160920,  160
  330,20160921,  163
  330,20160922,  172
  330,20160923,  158
  330,20160924,  184
  330,20160925,  175
  330,20160926,  153
  330,20160927,  168
  330,20160928,  187
  330,20160929,  167
  330,20160930,  159
  330,20161001,  143
  330,20161002,  139
  330,20161003,  155
  330,20161004,  134
  330,20161005,  108
  330,20161006,  106
  330,20161007,  121
  330,20161008,  121
  330,20161009,  102
  330,20161010,   93
  330,20161011,   92
  330,20161012,   96
  330,20161013,   94
  330,20161014,  101
  330,20161015,  121
